,Timestamp,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
0,2020-08-05 00:00:00,11193.48,11795.86,11094.35,11755.24,7514.79,86847559.79,11556.88
1,2020-08-06 00:00:00,11759.9,11913.5,11575.57,11770.08,9855.99,115864299.62,11755.72
2,2020-08-07 00:00:00,11770.26,11920.0,11219.0,11600.85,10503.36,122342727.37,11647.96
3,2020-08-08 00:00:00,11601.75,11817.95,11527.0,11776.9,3983.75,46582799.67,11693.21
4,2020-08-09 00:00:00,11767.93,11808.28,11527.92,11683.03,2649.49,30909847.9,11666.34
5,2020-08-10 00:00:00,11684.6,12080.0,11510.0,11895.12,7701.73,91514254.01,11882.3
6,2020-08-11 00:00:00,11896.37,11945.05,11130.0,11392.64,10470.69,120956546.54,11551.92
7,2020-08-12 00:00:00,11386.5,11625.0,11150.0,11565.35,5668.6,64989838.17,11464.88
8,2020-08-13 00:00:00,11567.74,11806.61,11270.91,11793.26,6839.55,78891169.32,11534.55
9,2020-08-14 00:00:00,11797.55,11862.0,11652.01,11779.77,5526.8,64934759.24,11749.08
10,2020-08-15 00:00:00,11771.97,11986.93,11667.7,11852.2,3983.18,47294347.31,11873.53
11,2020-08-16 00:00:00,11858.6,11938.55,11685.97,11914.02,2494.17,29525249.63,11837.71
12,2020-08-17 00:00:00,11916.83,12473.0,11771.44,12298.38,9778.33,118965074.54,12166.2
13,2020-08-18 00:00:00,12301.27,12408.53,11823.0,11958.1,8818.19,106555723.86,12083.63
14,2020-08-19 00:00:00,11950.0,12022.18,11574.4,11757.55,9401.5,110701736.98,11774.9
15,2020-08-20 00:00:00,11762.18,11894.12,11675.29,11859.37,4191.76,49473772.45,11802.63
16,2020-08-21 00:00:00,11857.18,11887.67,11485.49,11531.74,6391.18,74905546.02,11720.14
17,2020-08-22 00:00:00,11527.81,11694.02,11367.0,11667.7,3401.42,39269409.68,11545.0
18,2020-08-23 00:00:00,11678.17,11715.09,11524.7,11644.65,1632.87,18977422.92,11622.12
19,2020-08-24 00:00:00,11653.7,11832.55,11588.61,11761.8,2887.06,33911948.54,11746.2
20,2020-08-25 00:00:00,11750.4,11772.22,11112.75,11328.88,7073.69,80762613.33,11417.32
21,2020-08-26 00:00:00,11328.5,11549.8,11250.14,11469.3,4273.08,48637801.86,11382.38
22,2020-08-27 00:00:00,11462.91,11602.92,11122.72,11330.0,7796.16,88467523.2,11347.58
23,2020-08-28 00:00:00,11332.26,11555.61,11277.95,11536.58,6046.5,69254870.55,11453.72
24,2020-08-29 00:00:00,11538.74,11592.0,11423.64,11471.71,2095.94,24123105.95,11509.47
25,2020-08-30 00:00:00,11471.71,11715.69,11458.62,11708.97,2328.66,27068361.45,11624.02
26,2020-08-31 00:00:00,11713.11,11780.0,11573.39,11655.0,4534.22,52999207.96,11688.72
27,2020-09-01 00:00:00,11658.48,12065.82,11515.0,11923.96,7960.82,94697974.81,11895.5
28,2020-09-02 00:00:00,11919.53,11956.45,11155.32,11398.44,13056.07,149589893.22,11457.5
29,2020-09-03 00:00:00,11395.1,11477.35,9987.86,10160.0,18554.73,199600735.77,10757.4
30,2020-09-04 00:00:00,10160.0,10646.75,9902.43,10456.32,17415.36,180567453.37,10368.29
31,2020-09-05 00:00:00,10460.2,10567.9,9850.0,10167.19,12165.47,124026091.02,10194.93
32,2020-09-06 00:00:00,10165.47,10353.39,10000.0,10260.17,5121.25,52194906.94,10191.83
33,2020-09-07 00:00:00,10258.43,10415.66,9880.0,10377.14,8725.09,88189272.89,10107.55
34,2020-09-08 00:00:00,10377.5,10446.18,9825.07,10123.96,10560.87,106644193.93,10098.05
35,2020-09-09 00:00:00,10126.01,10353.39,9981.38,10232.8,5872.22,59881808.62,10197.47
36,2020-09-10 00:00:00,10221.76,10495.75,10220.0,10342.59,10223.19,105719876.58,10341.18
37,2020-09-11 00:00:00,10341.38,10409.44,10200.5,10393.04,5245.74,54033653.85,10300.48
38,2020-09-12 00:00:00,10400.46,10482.42,10275.0,10443.33,2509.24,26026019.88,10372.07
39,2020-09-13 00:00:00,10446.4,10576.78,10214.9,10334.78,4325.11,44764868.74,10350.01
40,2020-09-14 00:00:00,10338.82,10765.03,10250.13,10675.15,7325.23,77266025.82,10547.93
41,2020-09-15 00:00:00,10671.4,10940.01,10611.17,10783.83,6456.66,69707532.15,10796.22
42,2020-09-16 00:00:00,10785.0,11100.0,10662.81,10951.54,8300.24,90789916.42,10938.23
43,2020-09-17 00:00:00,10950.15,11054.0,10739.23,10940.47,5525.72,60068052.25,10870.63
44,2020-09-18 00:00:00,10947.35,11040.18,10816.54,10931.2,4398.92,48037947.48,10920.38
45,2020-09-19 00:00:00,10935.49,11183.01,10890.53,11077.22,2253.35,24883441.33,11042.86
46,2020-09-20 00:00:00,11070.84,11079.25,10755.9,10923.5,3250.02,35438004.62,10903.94
47,2020-09-21 00:00:00,10921.53,10996.98,10286.56,10411.29,9948.02,105170547.94,10572.01
48,2020-09-22 00:00:00,10418.83,10573.05,10353.39,10534.31,4800.6,50241913.21,10465.76
49,2020-09-23 00:00:00,10525.72,10541.39,10138.3,10233.42,5711.36,59279113.12,10379.16
50,2020-09-24 00:00:00,10236.86,10795.53,10193.2,10744.02,6703.92,70427765.15,10505.46
51,2020-09-25 00:00:00,10738.46,10762.65,10553.14,10689.81,6346.72,67663104.89,10661.11
52,2020-09-26 00:00:00,10694.23,10830.0,10655.29,10729.09,2550.32,27347735.93,10723.27
53,2020-09-27 00:00:00,10731.09,10807.14,10593.58,10780.66,2286.86,24496017.09,10711.63
54,2020-09-28 00:00:00,10779.99,10950.0,10628.52,10689.48,4991.57,54261165.88,10870.56
55,2020-09-29 00:00:00,10681.41,10865.0,10636.66,10836.42,4029.39,43240291.78,10731.22
56,2020-09-30 00:00:00,10840.0,10847.5,10658.56,10778.22,4304.62,46247317.6,10743.64
57,2020-10-01 00:00:00,10780.83,10940.22,10437.08,10622.71,8678.35,92766078.67,10689.37
58,2020-10-02 00:00:00,10611.17,10667.53,10380.0,10578.54,8333.46,87627773.65,10515.17
59,2020-10-03 00:00:00,10571.6,10605.79,10500.0,10553.66,1134.8,11975845.62,10553.29
60,2020-10-04 00:00:00,10543.17,10699.88,10524.81,10669.63,1057.78,11238120.45,10624.3
61,2020-10-05 00:00:00,10666.16,10805.82,10620.71,10795.0,3618.02,38756784.1,10712.17
62,2020-10-06 00:00:00,10797.36,10801.86,10525.0,10606.33,4800.7,51103858.73,10645.1
63,2020-10-07 00:00:00,10602.31,10682.56,10547.71,10669.14,5560.25,59068239.87,10623.31
64,2020-10-08 00:00:00,10669.1,10957.0,10535.06,10925.2,6969.04,75109562.94,10777.6
65,2020-10-09 00:00:00,10927.02,11118.49,10826.4,11052.0,5355.34,58978316.71,11012.99
66,2020-10-10 00:00:00,11060.46,11496.06,11059.62,11301.2,3270.37,37090500.87,11341.38
67,2020-10-11 00:00:00,11300.97,11447.44,11272.11,11372.93,2177.65,24760115.52,11370.1
68,2020-10-12 00:00:00,11372.48,11731.7,11175.99,11535.98,7088.23,81272304.47,11465.81
69,2020-10-13 00:00:00,11539.42,11567.4,11314.53,11427.98,5097.96,58286126.94,11433.22
70,2020-10-14 00:00:00,11440.28,11555.1,11287.42,11428.84,3788.25,43215383.86,11407.74
71,2020-10-15 00:00:00,11430.49,11623.6,11250.01,11511.11,4864.43,55519244.9,11413.31
72,2020-10-16 00:00:00,11506.53,11548.65,11200.0,11321.86,4309.22,48847324.61,11335.53
73,2020-10-17 00:00:00,11331.88,11415.48,11264.01,11365.8,1124.42,12751808.46,11340.79
74,2020-10-18 00:00:00,11363.4,11526.34,11352.79,11519.97,1047.17,11987530.53,11447.56
75,2020-10-19 00:00:00,11518.58,11840.0,11409.94,11764.14,5459.93,63658430.8,11659.19
76,2020-10-20 00:00:00,11759.2,12059.94,11680.0,11921.11,5859.84,69612470.31,11879.59
77,2020-10-21 00:00:00,11921.33,13235.0,11899.1,12802.67,20093.61,252863284.87,12584.26
78,2020-10-22 00:00:00,12802.63,13208.25,12686.73,12983.26,9277.56,120267676.23,12963.28
