,상호,주소,가격,셀프,상표,구
177,지에스이앤알 직영 서울주유소,서울 양천구 신정로 236 (신정동),1843.0,N,GS칼텍스,양천구
178,신월주유소,서울 양천구 신월로 193 (신월동),1844.0,Y,GS칼텍스,양천구
179,신정동주유소,서울 양천구 안양천로 663 (신정동),1847.0,Y,현대오일뱅크,양천구
180,SK에너지(주) 신평,서울 양천구 목동남로 62,1849.0,N,SK에너지,양천구
181,현대오일뱅크(주)직영 양천현대셀프주유소,서울 양천구 안양천로 1179 (목동),1854.0,Y,현대오일뱅크,양천구
182,목동주유소,서울 양천구 목동중앙로 125 (목동),1854.0,Y,SK에너지,양천구
183,현대오일뱅크㈜직영 목동셀프주유소,서울 양천구 공항대로 648 (목동),1862.0,Y,현대오일뱅크,양천구
184,현대오일뱅크(주)직영 양천셀프주유소,서울 양천구 목동로 17,1864.0,Y,현대오일뱅크,양천구
185,현대오일뱅크(주)직영 신목동셀프주유소,서울 양천구 목동동로10길 13,1865.0,Y,현대오일뱅크,양천구
186,(주)삼표에너지 목동주유소,서울 양천구 목동서로 129 (목동),1876.0,Y,GS칼텍스,양천구
187,지에스칼텍스㈜ 건지주유소,서울 양천구 안양천로 1171 (목동),1876.0,Y,GS칼텍스,양천구
188,양정주유소,서울 양천구 국회대로 158 (신정동),1895.0,N,현대오일뱅크,양천구
189,(주)서부트럭터미날,서울 양천구 신정로 167 (신정동),1899.0,N,현대오일뱅크,양천구
190,신양주유소,서울 양천구 지양로 67,1999.0,N,SK에너지,양천구
191,평화주유소,서울 양천구 안양천로 657 (신정동),2087.0,N,SK에너지,양천구
192,도림주유소,서울 영등포구 도림로 343 (도림동),1827.0,Y,알뜰주유소,영등포구
193,영등포현대셀프주유소,서울 영등포구 경인로 822 (영등포동),1827.0,Y,현대오일뱅크,영등포구
194,행촌주유소,서울 영등포구 도신로 130 (신길동),1827.0,N,SK에너지,영등포구
195,(주)MS에너지,서울 영등포구 대림로 230,1827.0,N,현대오일뱅크,영등포구
196,영등포제일셀프주유소,서울 영등포구 가마산로 379,1827.0,Y,현대오일뱅크,영등포구
197,성락주유소,서울 영등포구 가마산로 414 (신길동),1827.0,Y,S-OIL,영등포구
198,(주)대청에너지 대청주유소,서울 영등포구 가마산로 328 (대림동),1827.0,Y,GS칼텍스,영등포구
199,(주)강서오일,서울 영등포구 도신로 151,1827.0,N,현대오일뱅크,영등포구
200,지에스칼텍스㈜ 화일주유소,서울 영등포구 도림로 415,1835.0,Y,GS칼텍스,영등포구
201,매봉주유소,서울 영등포구 도신로 248 (신길동),1837.0,Y,현대오일뱅크,영등포구
202,㈜지에스이앤알 모드니주유소,서울 영등포구 경인로 789,1837.0,N,GS칼텍스,영등포구
203,(주)지에스이앤알 보라주유소,서울 영등포구 영등포로 399 (신길동),1837.0,N,GS칼텍스,영등포구
204,SK에너지(주) 신길동주유소,서울 영등포구 영등포로 348 (신길동),1839.0,N,SK에너지,영등포구
205,지에스칼텍스㈜ 신길주유소,서울 영등포구 신길로 74 (신길동),1847.0,Y,GS칼텍스,영등포구
206,(주)한미석유 제2한강주유소,서울 영등포구 선유로 260 (양평동4가),1849.0,Y,GS칼텍스,영등포구
207,현대오일뱅크㈜직영 대일셀프주유소,서울 영등포구 영등포로 168,1849.0,Y,현대오일뱅크,영등포구
208,SK에너지(주) 양평주유소,서울 영등포구 선유로 195 (양평동3가),1849.0,Y,SK에너지,영등포구
209,씨앤에스유통 한성주유소,서울 영등포구 여의대방로 227,1868.0,N,S-OIL,영등포구
210,한경석유(주)경덕주유소,서울 영등포구 여의대방로23길 2 (신길동),1868.0,Y,SK에너지,영등포구
211,선유도주유소,서울 영등포구 양평로 141 (양평동5가),1869.0,Y,S-OIL,영등포구
212,SK에너지(주) 기린주유소,서울 영등포구 선유로 270,1879.0,Y,SK에너지,영등포구
213,남서울고속주유소,서울 영등포구 가마산로 367 (대림동),1997.0,Y,SK에너지,영등포구
214,성원이앤에스(주)영등포지점,서울 영등포구 국회대로52길 9-13 (영등포동7가),2210.0,N,GS칼텍스,영등포구
215,지에스칼텍스(주) 국회대로주유소,서울 영등포구 국회대로 746 (여의도동),2235.0,N,GS칼텍스,영등포구
216,버드나룻길주유소,서울 영등포구 버드나루로 111 (당산동),2250.0,N,SK에너지,영등포구
217,KH여의도주유소,서울 영등포구 국회대로 794 (여의도동),2283.0,N,SK에너지,영등포구
218,SJ오일(주) 여의도주유소,서울 영등포구 은행로 64,2397.0,N,GS칼텍스,영등포구
219,씨앤에스에너지㈜ 미아셀프주유소,서울 강북구 도봉로 200 (미아동),1815.0,Y,S-OIL,강북구
220,SK에너지(주) 매일주유소,서울 강북구 삼양로 217 (미아동),1815.0,Y,SK에너지,강북구
221,㈜지에스이앤알 미아주유소,서울 강북구 도봉로 122 (미아동),1815.0,Y,GS칼텍스,강북구
222,덕릉로주유소,서울 강북구 덕릉로 158 (번동),1815.0,Y,S-OIL,강북구
223,수유동주유소,서울 강북구 도봉로 395 (수유동),1815.0,Y,GS칼텍스,강북구
224,(주)석산에너지,서울 강북구 삼양로 316 (수유동),1815.0,Y,현대오일뱅크,강북구
225,(주)서울에너지 시민주유소,서울 강북구 인수봉로 185 (수유동),1815.0,N,현대오일뱅크,강북구
226,북서울고속주유소,서울 강북구 삼양로 410 (수유동),1815.0,Y,SK에너지,강북구
227,현대오일뱅크(주)직영 번동셀프주유소,서울 강북구 한천로 963 (번동),1827.0,Y,현대오일뱅크,강북구
228,세원주유소,서울 강북구 한천로 918 (번동),1848.0,Y,SK에너지,강북구
229,대성석유(주)신광주유소,서울 강북구 삼양로 484,1857.0,N,GS칼텍스,강북구
230,에덴주유소,서울 강북구 월계로 195 (번동),1958.0,Y,SK에너지,강북구
231,현대오일뱅크㈜직영 강변현대주유소,서울 용산구 원효로 9 (청암동),1957.0,N,현대오일뱅크,용산구
232,현대오일뱅크㈜직영 한남동주유소,서울 용산구 한남대로 204 (한남동),2005.0,N,현대오일뱅크,용산구
233,현대오일뱅크(주)갈월동주유소,서울특별시 용산구  한강대로 322 (남영동),2016.0,N,현대오일뱅크,용산구
234,현대오일뱅크(주)직영 소월길주유소,서울 용산구 소월로 66 (후암동),2072.0,N,현대오일뱅크,용산구
235,(주)영원 풍기주유소,서울 용산구 원효로 178 (원효로2가),2168.0,N,GS칼텍스,용산구
236,(주)신태성주유소,서울 용산구 원효로 147 (원효로3가),2186.0,N,SK에너지,용산구
237,한석주유소,서울 용산구 이촌로 164,2219.0,N,SK에너지,용산구
238,(주)남경주유소,서울 용산구 녹사평대로11길 24,2234.0,N,SK에너지,용산구
239,제3한강주유소,서울 용산구 한남대로 45 (한남동),2298.0,N,GS칼텍스,용산구
240,동자동주유소,서울 용산구 한강대로104길 6 (동자동),2390.0,N,SK에너지,용산구
241,한남지점,서울 용산구 한남대로21길 4 (한남동),2397.0,N,SK에너지,용산구
242,에너비스,서울 용산구 한남대로 82 (한남동),2397.0,N,SK에너지,용산구
243,서계주유소,서울특별시 용산구  청파로 367 (청파동),2685.0,N,GS칼텍스,용산구
244,불광주유소,서울 은평구 연서로 314 (불광동),1847.0,Y,현대오일뱅크,은평구
245,지에스칼텍스㈜ 신사제일주유소,서울 은평구 증산로 423 (신사동),1852.0,Y,GS칼텍스,은평구
246,지에스칼텍스㈜ 녹번주유소,서울 은평구 통일로 600 (녹번동),1852.0,Y,GS칼텍스,은평구
247,지에스칼텍스㈜ 서부주유소,서울 은평구 응암로 210 (응암동),1852.0,Y,GS칼텍스,은평구
248,타이거주유소,서울 은평구 수색로 188 (증산동),1864.0,Y,SK에너지,은평구
249,현대오일뱅크㈜직영 은평드림주유소,서울 은평구 통일로 1151 (진관동),1868.0,N,현대오일뱅크,은평구
250,다회주유소,서울 은평구 증산로 441 (신사동),1874.0,Y,S-OIL,은평구
251,(주)명연에너지 수색훼미리주유소,서울 은평구 수색로 236 (수색동),1875.0,Y,현대오일뱅크,은평구
252,대성산업㈜ 대성주유소,서울 은평구 통일로 642,1879.0,Y,GS칼텍스,은평구
253,지에스칼텍스(주)수색뉴타운주유소,서울 은평구 수색로 350 (수색동),1882.0,Y,GS칼텍스,은평구
254,제이제이에너지,서울 은평구 응암로 163,1897.0,Y,SK에너지,은평구
255,성원이앤에스(주)은평지점,서울 은평구 통일로 968 (진관동),1898.0,Y,GS칼텍스,은평구
256,박석고개주유소,서울 은평구 통일로 945 (갈현동),1898.0,Y,SK에너지,은평구
257,은평뉴타운주유소,서울 은평구 통일로 924 (불광동),1898.0,Y,SK에너지,은평구
258,뉴타운셀프주유소,서울 은평구 통일로 1031,1925.0,Y,S-OIL,은평구
259,코끼리주유소,서울 은평구 서오릉로 41 (녹번동),1963.0,N,자가상표,은평구
260,안풍주유소,서울 종로구 자하문로 303,1989.0,N,S-OIL,종로구
261,자하문주유소,서울 종로구 자하문로 248 (부암동),1989.0,Y,SK에너지,종로구
262,㈜지에스이앤알 평창주유소,서울 종로구 평창문화로 135 (평창동),2049.0,N,현대오일뱅크,종로구
263,구도일주유소특종,서울 종로구 평창문화로 90 (평창동),2069.0,N,S-OIL,종로구
264,(주)중앙에너비스 혜화주유소,서울 종로구 창경궁로35길 1,2397.0,N,SK에너지,종로구
265,경복궁주유소,서울 종로구 율곡로 6 (중학동),2440.0,N,GS칼텍스,종로구
266,(주)대양씨앤씨 사직주유소,서울 종로구 사직로 65 (사직동),2445.0,N,GS칼텍스,종로구
267,SK북악주유소,서울 종로구 평창문화로 137,2478.0,N,SK에너지,종로구
268,다산주유소,서울 중구 다산로 233,1909.0,Y,S-OIL,중구
269,장충드림주유소,서울 중구 동호로 296,1915.0,Y,S-OIL,중구
270,현대오일뱅크 장원주유소,서울 중구 동호로 203 (신당동),1968.0,N,현대오일뱅크,중구
271,세화주유소,서울 중구 왕십리로 403,1988.0,N,알뜰주유소,중구
272,SK에너지(주) 퇴계로주유소,서울 중구 퇴계로 228 (필동2가),2090.0,N,SK에너지,중구
273,장충주유소,서울 중구 장충단로 202 (장충동1가),2238.0,N,SK에너지,중구
274,신당동주유소,서울 중구 다산로 242 (신당동),2248.0,N,SK에너지,중구
275,약수주유소,서울 중구 다산로 173,2438.0,N,GS칼텍스,중구
276,필동주유소,서울 중구 퇴계로 196 (필동2가),2559.0,N,GS칼텍스,중구
277,서남주유소,서울 중구 통일로 30,2750.0,N,SK에너지,중구
278,우림주유소,서울특별시 중랑구  용마산로 487 (망우제3동),1797.0,Y,GS칼텍스,중랑구
279,대양주유소,서울 중랑구 봉우재로 105 (상봉동),1797.0,Y,GS칼텍스,중랑구
280,면목SELF주유소,서울 중랑구 동일로 627 (면목동),1799.0,Y,SK에너지,중랑구
281,구도일주유소 동천,서울 중랑구 동일로 654 (면목동),1799.0,Y,S-OIL,중랑구
282,오천만주유소,서울 중랑구 동일로 547 (면목동),1799.0,Y,S-OIL,중랑구
283,(주)자연에너지 대창주유소,서울 중랑구 동일로 636 (면목동),1799.0,N,현대오일뱅크,중랑구
284,대원주유소,서울 중랑구 동일로 600,1799.0,Y,GS칼텍스,중랑구
285,(주)태영 구도일주유소 한인,서울 중랑구 망우로 170 (상봉동),1837.0,Y,S-OIL,중랑구
286,(주)기지에너지,서울 중랑구 용마산로 716 (신내동),1865.0,N,S-OIL,중랑구
287,신내주유소,서울 중랑구 용마산로 705 (신내동),1889.0,Y,SK에너지,중랑구
288,신일셀프주유소,서울 중랑구 상봉로 58 (망우동),1898.0,Y,SK에너지,중랑구
289,범아주유소,서울 중랑구 동일로 881 (묵동),1899.0,N,S-OIL,중랑구
290,용마로주유소,서울 중랑구 용마산로 309 (면목동),1998.0,Y,SK에너지,중랑구
291,뉴신정주유소,서울 강서구 곰달래로 207 (화곡동),1777.0,N,알뜰주유소,강서구
292,목화주유소,서울 강서구 국회대로 251 (화곡동),1777.0,Y,알뜰주유소,강서구
293,이케이에너지(주) 강서주유소,서울 강서구 화곡로 273 (화곡동),1777.0,Y,현대오일뱅크,강서구
294,화곡역주유소,서울 강서구 강서로 154 (화곡동),1777.0,Y,알뜰주유소,강서구
295,스카이주유소,서울 강서구 개화동로 457 (방화동),1789.0,Y,S-OIL,강서구
296,유턴주유소,서울 강서구 남부순환로 57,1808.0,Y,알뜰주유소,강서구
297,지에스칼텍스㈜ 경인고속주유소,서울 강서구 국회대로 225 (화곡동),1812.0,Y,GS칼텍스,강서구
298,방화주유소,서울 강서구 방화동로 58-2 (방화동),1813.0,N,SK에너지,강서구
299,행촌에너지 공항주유소,서울 강서구 개화동로 420 (개화동),1815.0,Y,현대오일뱅크,강서구
300,강서오곡셀프주유소,서울 강서구 벌말로 254 (오곡동),1817.0,Y,SK에너지,강서구
301,하이웨이주유소,서울특별시 강서구 공항대로 432(화곡동),1847.0,Y,S-OIL,강서구
302,KH에너지(주)직영 KH외발산주유소,서울 강서구 방화대로 30,1855.0,Y,SK에너지,강서구
303,현대오일뱅크 양화교주유소,서울 강서구 공항대로 653,1862.0,Y,현대오일뱅크,강서구
304,개화주유소,서울 강서구 양천로 57,1867.0,Y,SK에너지,강서구
305,(주)한진 김포공항주유소,서울 강서구 하늘길 259,1869.0,Y,S-OIL,강서구
306,현대오일뱅크 등촌주유소,서울 강서구 등촌로 189 (등촌동),1886.0,N,현대오일뱅크,강서구
307,현대오일뱅크(주) 가양주유소,서울 강서구  양천로 391 (가양동),1892.0,N,현대오일뱅크,강서구
308,화곡현대주유소,서울 강서구 강서로 151 (화곡동),1896.0,Y,SK에너지,강서구
309,강서열린주유소,서울 강서구 등촌로 213 (등촌동),1898.0,N,GS칼텍스,강서구
310,신화곡주유소,서울 강서구 국회대로 71,1898.0,Y,S-OIL,강서구
311,대성석유(주) 마곡대성주유소,서울 강서구 강서로 457,1926.0,Y,GS칼텍스,강서구
312,대성석유(주) 관문주유소,서울 강서구 공항대로 314,1926.0,N,GS칼텍스,강서구
313,대성석유(주)방화대성주유소,서울 강서구 양천로 176,1936.0,Y,GS칼텍스,강서구
314,세원제1주유소,서울 강서구 양천로 311 (가양동),1940.0,Y,SK에너지,강서구
315,우장산주유소,서울 강서구 강서로 292 (내발산동),1945.0,Y,SK에너지,강서구
316,KH에너지(주)직영 가양주유소,서울 강서구 강서로 498 (가양동),1946.0,N,SK에너지,강서구
317,대성주유소,서울 강서구 강서로 472,1946.0,N,GS칼텍스,강서구
318,(주)한진 김포공항제2주유소,서울 강서구 하늘길 112,1949.0,Y,S-OIL,강서구
319,박물관주유소,서울 강서구 양천로53길 97 (가양동),1998.0,N,GS칼텍스,강서구
320,코리나(주)청룡주유소,서울 강서구 양천로 576,1998.0,N,SK에너지,강서구
321,참솔에너지,서울 강서구 벌말로 281 (오곡동),2125.0,Y,S-OIL,강서구
322,염창동주유소,서울 강서구 양천로 720 (염창동),2268.0,N,SK에너지,강서구
323,(주)연우에너지 신관주유소,서울 관악구 신림로 290 (신림동),1859.0,Y,알뜰주유소,관악구
324,서일석유(주)락성주유소,서울 관악구 남부순환로 1920 (봉천동),1859.0,Y,GS칼텍스,관악구
325,현대오일뱅크(주)직영 관악셀프주유소,서울 관악구 남부순환로 1520 (신림동),1877.0,Y,현대오일뱅크,관악구
326,SK에너지(주)직영 대공원주유소,서울 관악구 과천대로 921 (남현동),1899.0,N,SK에너지,관악구
327,SK에너지(주) 신봉천,서울 관악구 남부순환로 1880 (봉천동),1899.0,N,SK에너지,관악구
328,현대오일뱅크(주)직영 문성골주유소,서울 관악구 문성로 97 (신림동),1909.0,N,현대오일뱅크,관악구
329,현대주유소,서울 관악구 난곡로 108 (신림동),1918.0,N,현대오일뱅크,관악구
330,지에스칼텍스㈜ 난곡주유소,서울 관악구 난곡로 206,1918.0,N,GS칼텍스,관악구
331,유림주유소,서울 관악구 신림로 176 (신림동),1938.0,N,S-OIL,관악구
332,(주)한유에너지행운셀프주유소,서울 관악구 남부순환로 1883 (봉천동),1939.0,Y,SK에너지,관악구
333,(주)엠오티이엔지 직영 삼화주유소,서울 관악구 보라매로 41,1948.0,N,현대오일뱅크,관악구
334,관악시몬주유소,서울특별시 관악구 남부순환로 1753 (봉천동),1957.0,N,S-OIL,관악구
335,대양석유(주)직영 보라매주유소,서울 관악구  보라매로 26 (봉천동),1977.0,Y,SK에너지,관악구
336,CJ대한통운㈜ 신림주유소,서울 관악구 남부순환로 1515 (신림동),2033.0,N,GS칼텍스,관악구
337,정해네트웍스(주)일진주유소,서울 광진구 동일로 413 (중곡동),1827.0,Y,S-OIL,광진구
338,현대오일뱅크(주)직영 능동주유소,서울 광진구 천호대로 584 (능동),1829.0,Y,현대오일뱅크,광진구
339,(주)창원CW,서울 광진구 광나루로 460 (화양동),1829.0,Y,현대오일뱅크,광진구
340,현대오일뱅크(주) 중원셀프주유소,서울 광진구 동일로 398 (중곡동),1839.0,Y,현대오일뱅크,광진구
341,현대오일뱅크(주)직영 중곡현대주유소,서울 광진구 동일로 435 (중곡동),1839.0,Y,현대오일뱅크,광진구
342,대원주유소,서울 광진구 용마산로 122 (중곡동),1849.0,N,S-OIL,광진구
343,용마주유소,서울 광진구 용마산로 68 (중곡동),1849.0,N,GS칼텍스,광진구
344,삼호주유소,서울 광진구 천호대로 809 (광장동),1857.0,Y,S-OIL,광진구
345,현대오일뱅크㈜직영 장호셀프주유소,서울 광진구 자양로37 (자양동),1887.0,Y,현대오일뱅크,광진구
346,(주)장수주유소,서울 광진구 동일로 266 (군자동),1895.0,N,SK에너지,광진구
347,태양주유소,서울 광진구 동일로 345 (중곡동),1896.0,N,현대오일뱅크,광진구
348,동서울주유소,서울 광진구 강변역로 10 (구의동),1898.0,N,GS칼텍스,광진구
349,강평주유소,서울 광진구 아차산로 616 (광장동),1968.0,N,SK에너지,광진구
350,자양주유소,서울 광진구 아차산로 298 (자양동),1998.0,N,SK에너지,광진구
351,처음처럼주유소,서울 구로구 오리로 1299 (궁동),1819.0,N,S-OIL,구로구
352,신성주유소,서울 구로구 구로동로 187 (구로제2동),1827.0,Y,현대오일뱅크,구로구
353,구인주유소,서울 구로구 경인로 558 (구로동),1827.0,N,SK에너지,구로구
354,(주)한미석유구로그린주유소,서울 구로구 구로중앙로 76 (구로동),1827.0,Y,GS칼텍스,구로구
355,SK구로주유소,서울 구로구 구일로 94 (구로동),1828.0,N,SK에너지,구로구
356,극동유화(주) 항동주유소,서울 구로구 서해안로 2154 (항동),1829.0,Y,S-OIL,구로구
357,대원셀프주유소,서울 구로구 개봉로 7,1857.0,Y,현대오일뱅크,구로구
358,SK에너지(주)직영 개봉동주유소,서울 구로구 경인로 290 (개봉동),1859.0,N,SK에너지,구로구
359,서울석유(주)풀페이주유소,서울 구로구 경인로 41 (온수동),1859.0,N,SK에너지,구로구
360,개봉주유소,서울 구로구 고척로 115 (개봉동),1859.0,Y,현대오일뱅크,구로구
361,현대오일뱅크㈜직영 신오류주유소,서울 구로구 경인로 161 (오류동),1862.0,N,현대오일뱅크,구로구
362,대성산업(주)디큐브주유소,서울 구로구 경인로 650 (신도림동),1867.0,N,GS칼텍스,구로구
363, 현대오일뱅크㈜직영 구로셀프주유소,서울 구로구 시흥대로 531,1879.0,Y,현대오일뱅크,구로구
364,현대오일뱅크(주)직영 신구로주유소,서울 구로구 가마산로 293 (구로동),1921.0,N,현대오일뱅크,구로구
365,근린공원주유소,서울 구로구 고척로 199 (고척동),1937.0,N,S-OIL,구로구
366,영진주유소,서울 구로구 구로동로 20 (가리봉동),1997.0,N,S-OIL,구로구
367,동아주유소,서울 구로구 도림로 91 (구로동),2298.0,N,S-OIL,구로구
368,JHC에너지,서울 구로구 시흥대로 539,2299.0,N,현대오일뱅크,구로구
369,구로주유소,서울 구로구 구로동로 137 (구로동),2540.0,N,GS칼텍스,구로구
370,구광주유소,서울 금천구 서부샛길 674 (가산동),1825.0,N,S-OIL,금천구
371,대득에너지(금천셀프주유소),서울 금천구  시흥대로 81 (시흥동),1845.0,Y,GS칼텍스,금천구
372,지에스칼텍스(주)일신주유소,서울 금천구 시흥대로 118,1848.0,Y,GS칼텍스,금천구
373,(주)백운주유소,서울 금천구 시흥대로 282 (독산동),1855.0,Y,알뜰주유소,금천구
374,SK에너지(주) 박미주유소,서울 금천구 시흥대로 39-7 (시흥동),1875.0,Y,SK에너지,금천구
375,현대오일뱅크(주)직영 금천현대셀프주유소,서울 금천구 독산로 147 (시흥동),1876.0,Y,현대오일뱅크,금천구
376,(주)화동유업 화동주유소,서울 금천구 시흥대로 484,1877.0,Y,SK에너지,금천구
377,SK에너지(주) 이가주유소,서울 금천구 시흥대로 441,1879.0,N,SK에너지,금천구
378,현대오일뱅크㈜직영 금천제일주유소,서울 금천구 남부순환로 1410 (독산동),1882.0,N,현대오일뱅크,금천구
379,남서울경복에너지,서울 금천구 독산로 257 (독산동),1885.0,Y,현대오일뱅크,금천구
380,백산주유소,서울특별시 금천구  시흥대로 174 (시흥동),1885.0,Y,S-OIL,금천구
381,화랑대주유소,서울 노원구 화랑로 483,1795.0,Y,현대오일뱅크,노원구
382,이엠석유(주)배꽃나라주유소,서울 노원구 화랑로 466 (공릉1동),1845.0,Y,GS칼텍스,노원구
383,삼육주유소,서울 노원구 화랑로 822 (공릉동),1845.0,Y,SK에너지,노원구
384,한신주유소,서울 노원구 동일로 1089 (공릉동),1885.0,Y,SK에너지,노원구
