,상호,주소,가격,셀프,상표,구
0,재건에너지 재정제2주유소 고속셀프지점,서울특별시 강동구  천호대로 1246 (둔촌제2동),1872.0,Y,현대오일뱅크,강동구
1,방아다리주유소,서울 강동구 동남로 811 (명일동),1915.0,Y,SK에너지,강동구
2,지에스칼텍스㈜ 동서울주유소,서울 강동구 천호대로 1456 (상일동),1925.0,Y,GS칼텍스,강동구
3,구천면주유소,서울 강동구 구천면로 357 (암사동),1935.0,N,현대오일뱅크,강동구
4,현대오일뱅크㈜직영 명일셀프주유소,서울 강동구 고덕로 168 (명일동),1956.0,Y,현대오일뱅크,강동구
5,대성석유(주)길동주유소,서울 강동구 천호대로 1168,1966.0,N,GS칼텍스,강동구
6,주)지유에너지직영 오렌지주유소,서울 강동구 성안로 102 (성내동),1991.0,N,SK에너지,강동구
7,(주)소모에너지 신월주유소,서울 강동구 양재대로 1323 (성내동),1995.0,N,GS칼텍스,강동구
8,sk해뜨는주유소,서울 강동구  상일로 132 (강일동),1995.0,Y,SK에너지,강동구
9,(주)삼표에너지 고덕주유소,서울 강동구 고덕로 39 (암사동),1996.0,N,GS칼텍스,강동구
10,(주)소모에너지 성내주유소,서울 강동구 올림픽로 578 (성내동),2028.0,Y,GS칼텍스,강동구
11,(주)퍼스트오일 코알라주유소,서울특별시 강동구  올림픽로 556 (성내동),2028.0,Y,S-OIL,강동구
12,천호현대주유소,서울 강동구 천중로 67 (천호동),2099.0,N,현대오일뱅크,강동구
13,광성주유소,서울 강동구 올림픽로 673 (천호동),2248.0,N,S-OIL,강동구
14,(주)자연에너지 국민주유소,서울 동대문구 답십리로 223 (답십리동),1799.0,N,현대오일뱅크,동대문구
15,삼영주유소,서울 동대문구 답십리로 258 (장안동),1827.0,N,SK에너지,동대문구
16,삼미상사(주)장안킹셀프주유소,서울 동대문구  한천로 100 (장안동),1829.0,Y,SK에너지,동대문구
17,풍한주유소,서울 동대문구 안암로 168,1835.0,N,SK에너지,동대문구
18,열린주유소,서울 동대문구 한천로 263 (휘경동),1837.0,N,S-OIL,동대문구
19,재정주유소,서울 동대문구 전농로 121 (전농동),1869.0,Y,현대오일뱅크,동대문구
20,재정제2주유소,서울 동대문구 사가정로 90 (전농동),1869.0,Y,현대오일뱅크,동대문구
21,현대오일뱅크㈜직영 스피드주유소,서울 동대문구 천호대로 453 (장안동),1872.0,N,현대오일뱅크,동대문구
22,대성산업(주)동마장주유소,서울 동대문구 고산자로 405 (용두동),1879.0,Y,GS칼텍스,동대문구
23,배봉로주유소,서울 동대문구 서울시립대로 108,1880.0,Y,현대오일뱅크,동대문구
24,대성산업㈜청량리주유소,서울 동대문구 왕산로 289 (청량리동),1885.0,Y,GS칼텍스,동대문구
