,광역시도,시도,20-39세여자,20-39세합계,65세 이상합계,인구수남자,인구수여자,인구수합계,소멸비율,소멸위기지역,ID
219,전라북도,무주군,1906.0,4217.0,7527.0,12371.0,12578.0,24949.0,0.5064434701740401,True,무주
220,전라북도,부안군,4679.0,10411.0,16469.0,28268.0,28737.0,57005.0,0.5682190782682616,True,부안
221,전라북도,순창군,2577.0,5258.0,9193.0,14427.0,15522.0,29949.0,0.5606439682367018,True,순창
222,전라북도,완산구,48028.0,97772.0,45324.0,176778.0,185067.0,361845.0,2.1193186832583177,False,전주 완산
223,전라북도,완주군,10560.0,22480.0,18813.0,48950.0,46530.0,95480.0,1.1226279700207304,False,완주
224,전라북도,익산시,35280.0,74968.0,48531.0,149740.0,150739.0,300479.0,1.4539160536564255,False,익산
225,전라북도,임실군,2354.0,5558.0,9552.0,15387.0,14810.0,30197.0,0.4928810720268006,True,임실
226,전라북도,장수군,1902.0,4177.0,6974.0,11681.0,11947.0,23628.0,0.5454545454545454,True,장수
227,전라북도,전주시,86871.0,177648.0,81555.0,321048.0,330696.0,651744.0,2.130366010667648,False,전주
228,전라북도,정읍시,10614.0,22997.0,28228.0,57008.0,58165.0,115173.0,0.752019271645175,True,정읍
229,전라북도,진안군,1998.0,4238.0,8133.0,13037.0,13032.0,26069.0,0.4913316119513095,True,진안
230,제주특별자치도,서귀포시,18676.0,39298.0,30030.0,86568.0,84364.0,170932.0,1.2438228438228438,False,서귀포
231,제주특별자치도,제주시,60255.0,124184.0,59159.0,235977.0,234688.0,470665.0,2.0370526885173854,False,제주
232,충청남도,계룡시,5071.0,10317.0,3847.0,21148.0,21486.0,42634.0,2.636340005198856,False,계룡
233,충청남도,공주시,10967.0,24195.0,24213.0,55221.0,54710.0,109931.0,0.9058770082187256,True,공주
234,충청남도,금산군,4454.0,9902.0,14606.0,27558.0,27054.0,54612.0,0.6098863480761331,True,금산
235,충청남도,논산시,11900.0,26011.0,28057.0,61724.0,61489.0,123213.0,0.8482731582136366,True,논산
236,충청남도,당진시,19356.0,44326.0,27445.0,87388.0,79242.0,166630.0,1.410530151211514,False,당진
237,충청남도,동남구,35222.0,73245.0,30187.0,131135.0,127784.0,258919.0,2.333587305793885,False,천안 동남
238,충청남도,보령시,9590.0,21904.0,22968.0,52521.0,51352.0,103873.0,0.8350748867990248,True,보령
239,충청남도,부여군,5348.0,12170.0,20772.0,34837.0,35350.0,70187.0,0.5149239360677835,True,부여
240,충청남도,서북구,57966.0,121489.0,26814.0,182987.0,176049.0,359036.0,4.323562318191989,False,천안 서북
241,충청남도,서산시,19196.0,42896.0,28030.0,87770.0,83018.0,170788.0,1.3696753478415984,False,서산
242,충청남도,서천군,4142.0,9361.0,17584.0,27539.0,28473.0,56012.0,0.4711101000909918,True,서천
243,충청남도,아산시,42296.0,89939.0,35067.0,155692.0,147237.0,302929.0,2.412296461060256,False,아산
244,충청남도,예산군,6665.0,15115.0,22006.0,40827.0,40512.0,81339.0,0.6057438880305371,True,예산
245,충청남도,천안시,93188.0,194734.0,57001.0,314122.0,303833.0,617955.0,3.269697022859248,False,천안
246,충청남도,청양군,2410.0,5617.0,10329.0,16389.0,16364.0,32753.0,0.4666473037080066,True,청양
247,충청남도,태안군,5271.0,12227.0,16868.0,32260.0,31640.0,63900.0,0.6249703580744606,True,태안
248,충청남도,홍성군,10428.0,22119.0,21315.0,49769.0,50202.0,99971.0,0.9784658691062632,True,홍성
249,충청북도,괴산군,2726.0,6332.0,11592.0,19773.0,19200.0,38973.0,0.4703243616287094,True,괴산
250,충청북도,단양군,2289.0,5196.0,7897.0,15362.0,15141.0,30503.0,0.5797138153729264,True,단양
251,충청북도,보은군,2498.0,5595.0,10187.0,17093.0,17128.0,34221.0,0.490428978109355,True,보은
252,충청북도,상당구,21071.0,44430.0,23576.0,86804.0,86897.0,173701.0,1.7874957583983713,False,청주 상당
253,충청북도,서원구,29168.0,60978.0,24187.0,107866.0,109254.0,217120.0,2.4118741472691942,False,청주 서원
254,충청북도,영동군,4217.0,9586.0,13750.0,25248.0,25304.0,50552.0,0.6133818181818181,True,영동
255,충청북도,옥천군,4445.0,9818.0,13255.0,26251.0,26016.0,52267.0,0.6706903055450774,True,옥천
256,충청북도,음성군,10179.0,22863.0,16906.0,51372.0,46415.0,97787.0,1.2041878622974092,False,음성
257,충청북도,제천시,14279.0,30842.0,24131.0,68444.0,68073.0,136517.0,1.183456964071112,False,제천
258,충청북도,증평군,4554.0,10085.0,5323.0,19110.0,18198.0,37308.0,1.7110651888033064,False,증평
259,충청북도,진천군,7622.0,17013.0,11306.0,36387.0,33563.0,69950.0,1.348310631523085,False,진천
260,충청북도,청원구,27805.0,60021.0,20331.0,97006.0,93807.0,190813.0,2.735231911858738,False,청주 청원
261,충청북도,청주시,115719.0,244037.0,91553.0,419323.0,415874.0,835197.0,2.527912793682348,False,청주
262,충청북도,충주시,22757.0,49357.0,34790.0,104877.0,103473.0,208350.0,1.3082494969818914,False,충주
263,충청북도,흥덕구,37675.0,78608.0,23459.0,127647.0,125916.0,253563.0,3.2119868707106014,False,청주 흥덕
